old_indication;index;old_indication_normalized
"cardiovascular diseases; coronary artery disease; stroke";32653;"cvd msd ad pd ed; ckd cad aki ed scd; stroke"
"cardiovascular diseases; congestive heart failure";32654;"cvd msd ad pd ed; hf rf rf lf onlf"
"cardiovascular diseases; cerebrovascular diseases";32655;"cvd msd ad pd ed; cvd msd ad pd ed"
"cardiovascular diseases; cardiac diseases";32656;"cvd msd ad pd ed; cvd msd ad pd ed"
cardiovascular diseases c14;32657;cvd msd ad pd ed
"cardiovascular diseases - atherosclerosis; lipoproteina";32658;"cvd msd ad pd ed; ldl"
cardiovascular diseases;32659;cvd msd ad pd ed
"cardiovascular disease; open heart surgery; depression";32660;"ckd cad aki ed scd; hf rf rf lf onlf; mdd"
"cardiovascular disease; myocardial infarction";32661;"ckd cad aki ed scd; cva"
"cardiovascular disease; kidney metabolic syndrome";32662;"ckd cad aki ed scd; ckd cad aki ed scd"
"cardiovascular disease; high risk for cardiovascular disease; homozygous and heterozygous familial hypercholesterolemia";32663;"ckd cad aki ed scd; gyn lap for benign disease cvd risk; fh"
"cardiovascular disease; endothelium dysfunction";32664;"ckd cad aki ed scd; ed"
"cardiovascular disease; diabetes";32665;"ckd cad aki ed scd; diabetes"
"cardiovascular disease; coronary heart disease; heart attack; heart disease; mental health; anxiety";32666;"ckd cad aki ed scd; ckd cad aki ed scd; hf rf rf lf onlf; ckd cad aki ed scd; mh omhd oh md gh; anxiety"
"cardiovascular disease; coronary artery disease; circulatory system disease";32667;"ckd cad aki ed scd; ckd cad aki ed scd; ckd cad aki ed scd"
"cardiovascular disease; circulatory system";32668;"ckd cad aki ed scd; cvd"
"cardiovascular disease; aortocoronary bypass graft";32669;"ckd cad aki ed scd; cabg"
cardiovascular disease unspecified;32670;ckd cad aki ed scd
"cardiovascular disease risk; dyslipidemia";32671;"ckd cad aki ed scd; dyslipidemia"
cardiovascular disease endothelium dysfunction;32672;cardiovascular disease endothelium dysfunction
cardiovascular disease;32673;ckd cad aki ed scd
"cardiovascular cv death; myocardial infarction";32674;"cvd msd ad pd ed; cva"
cardiovascular conditions or diseases such as kawasaki disease, congenital heart diseases, congenital coronary abnormalities, post-cardiac surgery transplantation;32675;"cvd msd ad pd ed; hf rf rf lf onlf; pci; surgery"
cardiovascular complications, ischemic changes;32676;"cvd msd ad pd ed; hemodynamic changes"
"cardiovascular complication; myocardial injury";32677;"cvd msd ad pd ed; tbi"
cardiovascular and cerebrovascular diseases;32678;cvd msd ad pd ed
"cardiovascular alterations induced by cirrhosis; diabetes";32679;"drug-induced nephropathy contrast-induced nephropathy neostigmine-induced bradyc; diabetes"
cardiovascular adverse events;32680;cvd msd ad pd ed
"cardiotoxicity; neoplasms; chemotherapy effect; heart failure";32681;"cardiotoxicity; neoplasms; chemo; hf rf rf lf onlf"
cardiotoxicity of breast cancer;32682;bc
cardiotoxicity induced by drug therapy for breast cancer;32683;bc
cardiotoxicity;32684;cardiotoxicity
cardiothoracic surgery diseases;32685;cvd msd ad pd ed
cardiorenal syndrome;32686;rds mets cad ibs rtis
cardiorenal disease;32687;ckd cad aki ed scd
"cardiopulmonary resuscitation; neonatal cardiac arrest";32688;"cpr; cardiac arrest"
"cardiopulmonary resuscitation; chest compression; personal protective equipment; airborne disease transmission prevention; aerosol generating procedure";32689;"cpr; chest ct; personal protective equipment; airborne disease transmission prevention; aerosol generating procedure"
"cardiopulmonary resuscitation; basic life support; cpr performance education";32690;"cpr; qol gb disorders pulp necrosis gb calculus ureter calculus; athletic injuries"
cardiopulmonary resuscitation;32691;cpr
"cardiopulmonary disease; smoking cessation";32692;"ckd cad aki ed scd; smoking"
cardiopulmonary disease;32693;ckd cad aki ed scd
"cardiopulmonary bypass; aki; kidney injury";32694;"cpr; aki; ckd cad aki ed scd"
cardiopulmonary bypass related bra;32695;cardiopulmonary bypass related bra
"cardiopulmonary arrest; pediatric resuscitation";32696;"cardiac arrest; cpr"
"cardiomyopathy; inflammatory cardiomyopathy; myocarditis";32697;"icm; icm; myocarditis"
"cardiomyopathy; heart failure";32698;"icm; hf rf rf lf onlf"
cardiomyopathy secondary to anthracycline treatment;32699;macular edema drug-induced glaucoma non-foveal atrophy central ser
cardiomyopathy;32700;icm
cardiomyopathies;32701;dilated cardiomyopathies
"cardiometabolic syndrome; ldl-cholesterol lowering";32702;"rds mets cad ibs rtis; ldl-cholesterol lowering"
cardiometabolic syndrome;32703;rds mets cad ibs rtis
cardiometabolic diseases;32704;cvd msd ad pd ed
"cardiomegaly; other hypertrophic cardiomyopathy";32705;"cardiomegaly; hcm"
"cardiogenic shock; transfusion related complication; anemia; oxygen delivery";32706;"shock; complication; anemia; ftud"
"cardiogenic shock; septic shock; myocardial infarction";32707;"shock; shock; cva"
"cardiogenic shock; myocardial infarction";32708;"shock; cva"
"cardiogenic shock; kidney injury";32709;"shock; ckd cad aki ed scd"
"cardiogenic shock; heart failure";32710;"shock; hf rf rf lf onlf"
"cardiogenic shock; extracorporeal membrane oxygenation complication; platelet dysfunction";32711;"shock; ecmo; ed"
cardiogenic shock;32712;shock
cardiac vascular surgery;32713;cardiac arrest
cardiac valve surgery;32714;cardiac arrest
cardiac valve interventional surgery;32715;pediatric cardiac surgery
cardiac valve disease;32716;ckd cad aki ed scd
"cardiac transplant; diabetes; renal disease";32717;"cardiac arrest; diabetes; ckd cad aki ed scd"
cardiac transplant;32718;cardiac arrest
cardiac symptoms after COVID-19-19 infection;32719;postpartum symptoms postpartum support post-covid cardiac symptoms
cardiac surgical procedures;32720;ssi
cardiac surgical diseases;32721;cvd msd ad pd ed
"cardiac surgery; post-operative anemia";32722;"cardiac arrest; anemia"
"cardiac surgery; opioid use";32723;"cardiac arrest; opioid dep nicotine dep opioid use alcohol dep methamphetamine dep"
"cardiac surgery; median sternotomy; cabg; valvular heart surgery; analgesia";32724;"cardiac arrest; median sternotomy; cabg; hf rf rf lf onlf; epidural analgesia"
"cardiac surgery; internal jugular vein cannulation";32725;"cardiac arrest; internal jugular vein cannulation"
"cardiac surgery; delayed cold-stored platelets; plts-1; buffy coat platelets";32726;"cardiac arrest; delayed ovulation; plts-1; buffy coat platelets"
cardiac surgery under cardiopulmonary bypass;32727;elective surgery
cardiac surgery;32728;cardiac arrest
"cardiac surgeries; extubation";32729;"cardiac arrest; extubation"
cardiac sarcoidosis;32730;cardiac arrest
"cardiac repolarization; qt interval; drug safety and tolerability";32731;"cardiac arrest; qt prolongation; safety study"
"cardiac rehabilitation; heart failure";32732;"cardiac arrest; hf rf rf lf onlf"
cardiac physiology;32733;cardiac arrest
cardiac output;32734;cardiac arrest
cardiac neurosis;32735;cardiac arrest
cardiac insufficiency;32736;cardiac arrest
cardiac function;32737;cardiac arrest
"cardiac fibrosis; pai-1 deficiency";32738;"ipf cf pe iim lf; iron def"
"cardiac failure; renal dysfunction";32739;"hf rf rf lf onlf; ed"
cardiac failure;32740;hf rf rf lf onlf
"cardiac edema; congestive heart failure";32741;"cardiac arrest; hf rf rf lf onlf"
cardiac edema chf;32742;cardiac arrest
cardiac edema;32743;cardiac arrest
"cardiac dysrhythmia; cardiac arrhythmia";32744;"cardiac arrest; cardiac arrest"
cardiac diseases;32745;cvd msd ad pd ed
"cardiac disease; respiratory distress syndrome";32746;"ckd cad aki ed scd; rds mets cad ibs rtis"
"cardiac disease; perioperative period transfusion";32747;"ckd cad aki ed scd; blood transfusion btx
blood sugar bs
blood clots bc
blood rout"
"cardiac disease; bleeding; factor viii inhibitor bypass activity";32748;"ckd cad aki ed scd; bleeding; factor viii deficiency factor ix deficiency factor xi deficiency sord deficiency neuropathy acquired"
cardiac disease;32749;ckd cad aki ed scd
cardiac devices infection;32750;uti
cardiac condition;32751;cardiac arrest
"cardiac catheterization; contrast-induced nephropathy";32752;"cardiac arrest; iganephropathy"
"cardiac arrhythmia; ventricular tachyarrhythmias";32753;"cardiac arrest; vt"
"cardiac arrhythmia; heart failure";32754;"cardiac arrest; hf rf rf lf onlf"
cardiac arrhythmia;32755;cardiac arrest
"cardiac arrest; ventilation; mechanical ventilation; bag-valve ventilation; cardiopulmonary resuscitation; oxygen";32756;"cardiac arrest; ventilation; ventilation; ventilation; cpr; o2"
"cardiac arrest; traumatic and non-traumatic causes";32757;"cardiac arrest; traumatic and non-traumatic causes"
"cardiac arrest; sustained rosc";32758;"cardiac arrest; sustained rosc"
"cardiac arrest; return of spontaneous circulation; post-ca neuroprotection";32759;"cardiac arrest; bowel function; neuroprotection"
"cardiac arrest; pulseless electrical activity (pea)";32760;"cardiac arrest; pulseless electrical activity (pea)"
"cardiac arrest; post-cardiac arrest shock";32761;"cardiac arrest; shock"
"cardiac arrest; pediatric and adult";32762;"cardiac arrest; ssi"
"cardiac arrest; packed red blood cell transfusion during cardiac arrest";32763;"cardiac arrest; cardiac arrest"
"cardiac arrest; ischemia reperfusion injury; anoxic bra";32764;"cardiac arrest; tbi; asthma"
"cardiac arrest; hemodialysis patients";32765;"cardiac arrest; hd hd complication hd maintenance hd hd"
"cardiac arrest; heart arrest; cardiopulmonary resuscitation; return to work; rehabilitation for surv";32766;"cardiac arrest; hf rf rf lf onlf; cpr; rts; rehab"
"cardiac arrest; extracorporeal membrane oxygenation (ecmo); reperfusion injury";32767;"cardiac arrest; ecmo; tbi"
"cardiac arrest; bra";32768;"cardiac arrest; asthma"
cardiac arrest, non-shockable rhythm, sustained return of spontaneous circulation, good neurological outcome;32769;"cardiac arrest; circadian rhythm; bowel function; neurologic"
cardiac angiography;32770;cardiac arrest
"cardiac amyloidosis; myocardial fibrosis";32771;"cardiac arrest; ipf cf pe iim lf"
"cardiac amyloidosis; al amyloidosis; attr amyloidosis";32772;"cardiac arrest; amyloidosis; amyloidosis"
cardiac amyloidosis;32773;cardiac arrest
cardiac allograft vasculopathy;32774;cardiac arrest
"capillary malformation-arteriovenous malformation; port-wine stain; sturge-weber syndrome";32775;"lymph malformation; pws; rds mets cad ibs rtis"
calcified occlusive atherosclerotic lesion;32776;calcified occlusive atherosclerotic lesion
calcified coronary lesions;32777;pci
"calcific aortic valve disease; aortic stenosis";32778;"rheumatic valve disease; aortic stenosis"
cad;32779;cvd msd ad pd ed
cabg (coronary artery bypass grafting);32780;cabg
"buerger disease; raynaud syndrome";32781;"ckd cad aki ed scd; rds mets cad ibs rtis"
"breast cancer; cardiac toxicity";32782;"bc; cardiac arrest"
"breast cancer; cardiac dysfunction";32783;"bc; ed"
"breast cancer and 3; doxorubic";32784;"bc; doxorubic"
"branch atheromatous disease; penetrating artery territory infarction";32785;"ckd cad aki ed scd; penetrating artery territory infarction"
branch atheromatous disease (bad);32786;asthma
bradycardia-induced hypotension;32787;hypotension
"bradycardia; hypotension";32788;"bradycardia; hypotension"
"bradycardia pacing; leadless implantation";32789;"bradycardia; implantation"
bradycardia;32790;bradycardia
borderline hypertension;32791;htn
bone cement implantation syndrome;32792;bmfs
"blood pressure; heart rate";32793;"bp; hf rf rf lf onlf"
blood pressure variability;32794;bp
"blood pressure abnormalities; heart rate abnormalities";32795;"bp; hf rf rf lf onlf"
blood pressure;32796;bp
"bleeding; surgical blood loss; seizures";32797;"bleeding; ssi; seizures"
"bleeding post-mechanical valve replacement; thromboembolism post-mechanical valve replacement";32798;"aortic valve replacement; aortic valve replacement"
bleeding during perioperative cardiac surgery;32799;menorrhagia
bleeding cardiac surgery patients;32800;pediatric cardiac surgery
bioprosthetic valves;32801;bpv
bioprosthetic valve replacement;32802;puv
bioequivalence study of azilsartan medoxomil;32803;"naproxenesomeprazole bioequivalence
ticagrelor bioequivalence
d"
bay3283142 pharmacokinetics;32804;pk
"basic cardiopulmonary resuscitation; cardiac arrest";32805;"cpr; cardiac arrest"
bariatric surgery candidate;32806;surgery
attr cardiac amyloidosis;32807;cardiac arrest
"atrioventricular block; trifascicular block";32808;"av block; av block"
"atrioventricular block; atrial fibrillation";32809;"av block; afib aflut asd persistent afib vfib"
atrioventricular block;32810;av block
"atrial septal defect; ventricular septal defect";32811;"afib aflut asd persistent afib vfib; vt"
"atrial septal defect; tricuspid regurgitation; congenital heart defects";32812;"afib aflut asd persistent afib vfib; mr; hf rf rf lf onlf"
"atrial septal defect; double inlet ventricle; double outlet left ventricle; double outlet right ventricle; other congenital malformations of cardiac chambers and connections; ventricular septal defect";32813;"afib aflut asd persistent afib vfib; div; dolv; dolv; teeth disorders musculoskeletal disorders edentulism eye disorders; vt"
atrial septal defect;32814;afib aflut asd persistent afib vfib
"atrial premature beat; ventricular premature beat";32815;"afib aflut asd persistent afib vfib; vt"
atrial hypertension;32816;htn
atrial flutter fibrillation;32817;afib aflut asd persistent afib vfib
"atrial fibrillation; stroke; major adverse cardiac events";32818;"afib aflut asd persistent afib vfib; stroke; adverse events"
"atrial fibrillation; stroke prevention";32819;"afib aflut asd persistent afib vfib; stroke"
"atrial fibrillation; stroke";32820;"afib aflut asd persistent afib vfib; stroke"
"atrial fibrillation; silent bra";32821;"afib aflut asd persistent afib vfib; asthma"
"atrial fibrillation; recurrence rate of atrial fibrillation";32822;"afib aflut asd persistent afib vfib; afib aflut asd persistent afib vfib"
"atrial fibrillation; rapid ventricular response; hypotension";32823;"afib aflut asd persistent afib vfib; vt; hypotension"
